,highest_charting_position,number_of_times_charted,streams,artist_followers,popularity,danceability,energy,loudness,speechiness,acousticness,liveness,tempo,duration_ms,valence,chord,contemporary,dance,edm,electropop,hip hop,house,indie,latin,other,pop,rap,reggaeton,rock,trap
1290,36,2,6442451.0,11821805.0,65.0,0.903,0.535,-6.238,0.286,0.0298,0.0851,130.117,195692.0,0.157,G#/Ab,0,0,0,0,0,0,0,0,0,0,3,0,0,1
1291,70,3,6105711.0,36177712.0,69.0,0.683,0.677,-4.496,0.0469,0.0869,0.0998,156.019,240253.0,0.514,C#/Db,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1292,126,1,6017103.0,11821805.0,58.0,0.802,0.748,-5.708,0.207,0.24,0.165,150.063,193861.0,0.516,G#/Ab,0,0,0,0,0,0,0,0,0,0,3,0,0,1
1293,126,2,5895243.0,4764552.0,54.0,0.487,0.398,-9.901,0.0697,0.835,0.12,149.367,157766.0,0.905,C#/Db,0,0,0,0,1,0,0,0,0,1,1,0,0,0
1294,57,3,5544180.0,36177712.0,69.0,0.802,0.787,-6.181,0.0599,0.0832,0.153,94.026,167975.0,0.446,G,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1295,147,1,5496780.0,11821805.0,60.0,0.95,0.654,-5.895,0.307,0.0744,0.138,132.936,194844.0,0.886,C,0,0,0,0,0,0,0,0,0,0,3,0,0,1
1296,149,1,5468083.0,11821805.0,59.0,0.862,0.65,-6.978,0.355,0.0207,0.568,131.194,115350.0,0.658,A#/Bb,0,0,0,0,0,0,0,0,0,0,3,0,0,1
1297,60,3,5440382.0,36177712.0,69.0,0.762,0.801,-3.661,0.0409,0.2,0.254,93.992,136893.0,0.81,C#/Db,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1298,153,1,5415044.0,11821805.0,57.0,0.762,0.622,-6.293,0.223,0.352,0.145,130.019,193314.0,0.626,F,0,0,0,0,0,0,0,0,0,0,3,0,0,1
1299,69,3,5411302.0,36177712.0,77.0,0.55,0.598,-5.402,0.0831,0.132,0.0955,83.836,232496.0,0.543,B,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1300,158,1,5324545.0,11821805.0,58.0,0.867,0.768,-3.73,0.0791,0.18,0.254,102.021,181826.0,0.34,G,0,0,0,0,0,0,0,0,0,0,3,0,0,1
